title,token,pos,entity
Hadits Muslim Nomor 3,Abdul,PROPN,B-PER
Hadits Muslim Nomor 3,Aziz,PROPN,I-PER
Hadits Muslim Nomor 3,bin,PROPN,I-PER
Hadits Muslim Nomor 3,Shuhaib,PROPN,I-PER
Hadits Muslim Nomor 3,dari,ADP,O
Hadits Muslim Nomor 3,Anas,PROPN,B-PER
Hadits Muslim Nomor 3,bin,PROPN,I-PER
Hadits Muslim Nomor 3,Malik,PROPN,I-PER
Hadits Muslim Nomor 3,bahwasanya,ADP,O
Hadits Muslim Nomor 3,dia,PRON,O
Hadits Muslim Nomor 3,berkata,VERB,O
Hadits Muslim Nomor 3,',PUNCT,O
Hadits Muslim Nomor 3,Sesungguhnya,NOUN,O
Hadits Muslim Nomor 3,sesuatu,NOUN,O
Hadits Muslim Nomor 3,yang,PRON,O
Hadits Muslim Nomor 3,menghalangiku,VERB,O
Hadits Muslim Nomor 3,untuk,ADP,O
Hadits Muslim Nomor 3,menceritakan,VERB,O
Hadits Muslim Nomor 3,hadits,NOUN,O
Hadits Muslim Nomor 3,yang,PRON,O
Hadits Muslim Nomor 3,banyak,ADV,O
Hadits Muslim Nomor 3,kepada,ADP,O
Hadits Muslim Nomor 3,kalian,NOUN,O
Hadits Muslim Nomor 3,adalah,VERB,O
Hadits Muslim Nomor 3,bahwa,CONJ,O
Hadits Muslim Nomor 3,Rasulullah,PROPN,B-PER
Hadits Muslim Nomor 3,shallallahu,PROPN,I-PER
Hadits Muslim Nomor 3,',PUNCT,I-PER
Hadits Muslim Nomor 3,alaihi,PROPN,I-PER
Hadits Muslim Nomor 3,wasallam,PROPN,I-PER
Hadits Muslim Nomor 3,bersabda,PROPN,O
Hadits Muslim Nomor 3,Barangsiapa,NOUN,O
Hadits Muslim Nomor 3,yang,PRON,O
Hadits Muslim Nomor 3,sengaja,ADV,O
Hadits Muslim Nomor 3,melakukan,VERB,O
Hadits Muslim Nomor 3,kedustaan,NOUN,O
Hadits Muslim Nomor 3,atas,ADP,O
Hadits Muslim Nomor 3,namaku,NOUN,O
Hadits Muslim Nomor 3,maka,CONJ,O
Hadits Muslim Nomor 3,hendaklah,CONJ,O
Hadits Muslim Nomor 3,dia,PRON,O
Hadits Muslim Nomor 3,menempati,VERB,O
Hadits Muslim Nomor 3,tempat,NOUN,O
Hadits Muslim Nomor 3,duduknya,NOUN,O
Hadits Muslim Nomor 3,dari,ADP,O
Hadits Muslim Nomor 3,neraka,NOUN,O
Hadits Muslim Nomor 3,',PUNCT,O
Hadits Muslim Nomor 4,Telah,ADV,O
Hadits Muslim Nomor 4,menceritakan,VERB,O
Hadits Muslim Nomor 4,kepada,ADP,O
Hadits Muslim Nomor 4,kami,PRON,O
Hadits Muslim Nomor 4,Muhammad,PROPN,B-PER
Hadits Muslim Nomor 4,bin,PROPN,I-PER
Hadits Muslim Nomor 4,Ubaid,PROPN,I-PER
Hadits Muslim Nomor 4,al,PROPN,I-PER
Hadits Muslim Nomor 4,-,PUNCT,I-PER
Hadits Muslim Nomor 4,Ghubari,PROPN,I-PER
Hadits Muslim Nomor 4,telah,ADV,O
Hadits Muslim Nomor 4,menceritakan,VERB,O
Hadits Muslim Nomor 4,kepada,ADP,O
Hadits Muslim Nomor 4,kami,PRON,O
Hadits Muslim Nomor 4,Abu,PROPN,B-PER
Hadits Muslim Nomor 4,Awanah,PROPN,I-PER
Hadits Muslim Nomor 4,dari,ADP,O
Hadits Muslim Nomor 4,Abu,PROPN,B-PER
Hadits Muslim Nomor 4,Hashin,PROPN,I-PER
Hadits Muslim Nomor 4,dari,ADP,O
Hadits Muslim Nomor 4,Abu,PROPN,B-PER
Hadits Muslim Nomor 4,Shalih,PROPN,I-PER
Hadits Muslim Nomor 4,dari,ADP,O
Hadits Muslim Nomor 4,Abu,PROPN,B-PER
Hadits Muslim Nomor 4,Hurairah,PROPN,I-PER
Hadits Muslim Nomor 4,dia,PRON,O
Hadits Muslim Nomor 4,berkata,VERB,O
Hadits Muslim Nomor 4,Rasulullah,PROPN,B-PER
Hadits Muslim Nomor 4,shallallahu,PROPN,I-PER
Hadits Muslim Nomor 4,',PUNCT,I-PER
Hadits Muslim Nomor 4,alaihi,PROPN,I-PER
Hadits Muslim Nomor 4,wasallam,PROPN,I-PER
Hadits Muslim Nomor 4,bersabda,VERB,O
Hadits Muslim Nomor 4,Barangsiapa,NOUN,O
Hadits Muslim Nomor 4,berdusta,VERB,O
Hadits Muslim Nomor 4,atas,ADP,O
Hadits Muslim Nomor 4,namaku,NOUN,O
Hadits Muslim Nomor 4,maka,CONJ,O
Hadits Muslim Nomor 4,hendaklah,CONJ,O
Hadits Muslim Nomor 4,dia,PRON,O
Hadits Muslim Nomor 4,menempati,VERB,O
Hadits Muslim Nomor 4,tempat,NOUN,O
Hadits Muslim Nomor 4,duduknya,NOUN,O
Hadits Muslim Nomor 4,dari,ADP,O
Hadits Muslim Nomor 4,neraka,NOUN,O
Hadits Muslim Nomor 5,Telah,ADV,O
Hadits Muslim Nomor 5,menceritakan,VERB,O
Hadits Muslim Nomor 5,kepada,ADP,O
Hadits Muslim Nomor 5,kami,PRON,O
Hadits Muslim Nomor 5,Muhammad,PROPN,B-PER
Hadits Muslim Nomor 5,bin,PROPN,I-PER
Hadits Muslim Nomor 5,Abdullah,PROPN,I-PER
Hadits Muslim Nomor 5,bin,PROPN,I-PER
Hadits Muslim Nomor 5,Numair,PROPN,I-PER
Hadits Muslim Nomor 5,telah,ADV,O
Hadits Muslim Nomor 5,menceritakan,VERB,O
Hadits Muslim Nomor 5,kepada,ADP,O
Hadits Muslim Nomor 5,kami,PRON,O
Hadits Muslim Nomor 5,Bapakku,NUM,O
Hadits Muslim Nomor 5,telah,ADV,O
Hadits Muslim Nomor 5,menceritakan,VERB,O
Hadits Muslim Nomor 5,kepada,ADP,O
Hadits Muslim Nomor 5,kami,PRON,O
Hadits Muslim Nomor 5,Sa'id,PROPN,B-PER
Hadits Muslim Nomor 5,bin,PROPN,I-PER
Hadits Muslim Nomor 5,',PUNCT,I-PER
Hadits Muslim Nomor 5,Ubaid,PROPN,I-PER
Hadits Muslim Nomor 5,telah,ADV,O
Hadits Muslim Nomor 5,menceritakan,VERB,O
Hadits Muslim Nomor 5,kepada,ADP,O
Hadits Muslim Nomor 5,kami,PRON,O
Hadits Muslim Nomor 5,Ali,PROPN,B-PER
Hadits Muslim Nomor 5,bin,PROPN,I-PER
Hadits Muslim Nomor 5,Rabi'ah,PROPN,I-PER
Hadits Muslim Nomor 5,dia,PRON,O
Hadits Muslim Nomor 5,berkata,VERB,O
Hadits Muslim Nomor 5,Aku,PRON,O
Hadits Muslim Nomor 5,mendatangi,VERB,O
Hadits Muslim Nomor 5,masjid,NOUN,O
Hadits Muslim Nomor 5,sedangkan,CONJ,O
Hadits Muslim Nomor 5,al,PROPN,B-PER
Hadits Muslim Nomor 5,-,PUNCT,I-PER
Hadits Muslim Nomor 5,Mughirah,NUM,I-PER
Hadits Muslim Nomor 5,gubernur,NOUN,O
Hadits Muslim Nomor 5,Kufah,PROPN,O
Hadits Muslim Nomor 5,Ia,PRON,O
Hadits Muslim Nomor 5,berkata,VERB,O
Hadits Muslim Nomor 5,Lalu,PROPN,O
Hadits Muslim Nomor 5,al,PROPN,B-PER
Hadits Muslim Nomor 5,-,PUNCT,I-PER
Hadits Muslim Nomor 5,Mughirah,PROPN,I-PER
Hadits Muslim Nomor 5,berkata,VERB,O
Hadits Muslim Nomor 5,',PUNCT,O
Hadits Muslim Nomor 5,Saya,PRON,O
Hadits Muslim Nomor 5,mendengar,VERB,O
Hadits Muslim Nomor 5,Rasulullah,PROPN,B-PER
Hadits Muslim Nomor 5,shallallahu,PROPN,I-PER
Hadits Muslim Nomor 5,',PUNCT,I-PER
Hadits Muslim Nomor 5,alaihi,PROPN,I-PER
Hadits Muslim Nomor 5,wasallam,PROPN,I-PER
Hadits Muslim Nomor 5,bersabda,PROPN,O
Hadits Muslim Nomor 5,Sesungguhnya,NOUN,O
Hadits Muslim Nomor 5,berdusta,VERB,O
Hadits Muslim Nomor 5,atas,ADP,O
Hadits Muslim Nomor 5,namaku,NOUN,O
Hadits Muslim Nomor 5,tidaklah,ADV,O
Hadits Muslim Nomor 5,sama,ADJ,O
Hadits Muslim Nomor 5,dengan,ADP,O
Hadits Muslim Nomor 5,berdusta,VERB,O
Hadits Muslim Nomor 5,atas,ADP,O
Hadits Muslim Nomor 5,nama,NOUN,O
Hadits Muslim Nomor 5,seseorang,NOUN,O
Hadits Muslim Nomor 5,barangsiapa,NOUN,O
Hadits Muslim Nomor 5,berdusta,VERB,O
Hadits Muslim Nomor 5,atas,ADP,O
Hadits Muslim Nomor 5,namaku,NOUN,O
Hadits Muslim Nomor 5,secara,ADP,O
Hadits Muslim Nomor 5,sengaja,ADJ,O
Hadits Muslim Nomor 5,maka,CONJ,O
Hadits Muslim Nomor 5,hendaklah,ADV,O
Hadits Muslim Nomor 5,dia,PRON,O
Hadits Muslim Nomor 5,menempati,VERB,O
Hadits Muslim Nomor 5,tempat,NOUN,O
Hadits Muslim Nomor 5,duduknya,NOUN,O
Hadits Muslim Nomor 5,dari,ADP,O
Hadits Muslim Nomor 5,neraka,NOUN,O
Hadits Muslim Nomor 5,Dan,CONJ,O
Hadits Muslim Nomor 5,telah,ADV,O
Hadits Muslim Nomor 5,menceritakan,VERB,O
Hadits Muslim Nomor 5,kepadaku,NOUN,O
Hadits Muslim Nomor 5,Ali,PROPN,B-PER
Hadits Muslim Nomor 5,bin,PROPN,I-PER
Hadits Muslim Nomor 5,Hujr,PROPN,I-PER
Hadits Muslim Nomor 5,as,PROPN,I-PER
Hadits Muslim Nomor 5,Sa'di,PROPN,I-PER
Hadits Muslim Nomor 5,telah,ADV,O
Hadits Muslim Nomor 5,menceritakan,VERB,O
Hadits Muslim Nomor 5,kepada,ADP,O
Hadits Muslim Nomor 5,kami,PRON,O
Hadits Muslim Nomor 5,Ali,PROPN,B-PER
Hadits Muslim Nomor 5,bin,PROPN,I-PER
Hadits Muslim Nomor 5,Mushir,PROPN,I-PER
Hadits Muslim Nomor 5,telah,ADV,O
Hadits Muslim Nomor 5,mengabarkan,VERB,O
Hadits Muslim Nomor 5,kepada,ADP,O
Hadits Muslim Nomor 5,kami,PRON,O
Hadits Muslim Nomor 5,Muhammad,PROPN,B-PER
Hadits Muslim Nomor 5,bin,PROPN,I-PER
Hadits Muslim Nomor 5,Qais,PROPN,I-PER
Hadits Muslim Nomor 5,al,PROPN,I-PER
Hadits Muslim Nomor 5,Asdi,PROPN,I-PER
Hadits Muslim Nomor 5,dari,ADP,O
Hadits Muslim Nomor 5,Ali,PROPN,B-PER
Hadits Muslim Nomor 5,bin,PROPN,I-PER
Hadits Muslim Nomor 5,Rabi'ah,PROPN,I-PER
Hadits Muslim Nomor 5,al,PROPN,I-PER
Hadits Muslim Nomor 5,Asdi,PROPN,I-PER
Hadits Muslim Nomor 5,dari,ADP,O
Hadits Muslim Nomor 5,al,PROPN,B-PER
Hadits Muslim Nomor 5,-,PUNCT,I-PER
Hadits Muslim Nomor 5,Mughirah,PROPN,I-PER
Hadits Muslim Nomor 5,bin,PROPN,I-PER
Hadits Muslim Nomor 5,Syu'bah,PROPN,I-PER
Hadits Muslim Nomor 5,dari,ADP,O
Hadits Muslim Nomor 5,Nabi,PROPN,B-PER
Hadits Muslim Nomor 5,shallallahu,PROPN,I-PER
Hadits Muslim Nomor 5,',PUNCT,I-PER
Hadits Muslim Nomor 5,alaihi,PROPN,I-PER
Hadits Muslim Nomor 5,wasallam,PROPN,I-PER
Hadits Muslim Nomor 5,dengan,ADP,O
Hadits Muslim Nomor 5,semisal,NOUN,O
Hadits Muslim Nomor 5,hadits,NOUN,O
Hadits Muslim Nomor 5,tersebut,DET,O
Hadits Muslim Nomor 5,hanya,ADV,O
Hadits Muslim Nomor 5,saja,ADV,O
Hadits Muslim Nomor 5,dia,PRON,O
Hadits Muslim Nomor 5,tidak,X,O
Hadits Muslim Nomor 5,menyebut,VERB,O
Hadits Muslim Nomor 5,Sesungguhnya,NOUN,O
Hadits Muslim Nomor 5,berdusta,VERB,O
Hadits Muslim Nomor 5,atas,ADP,O
Hadits Muslim Nomor 5,namaku,NOUN,O
Hadits Muslim Nomor 5,tidaklah,ADV,O
Hadits Muslim Nomor 5,sama,ADJ,O
Hadits Muslim Nomor 5,dengan,ADP,O
Hadits Muslim Nomor 5,berdusta,VERB,O
Hadits Muslim Nomor 5,atas,ADP,O
Hadits Muslim Nomor 5,nama,NOUN,O
Hadits Muslim Nomor 5,seseorang,NOUN,O
Hadits Muslim Nomor 6,Dan,CONJ,O
Hadits Muslim Nomor 6,telah,ADV,O
Hadits Muslim Nomor 6,menceritakan,VERB,O
Hadits Muslim Nomor 6,kepada,ADP,O
Hadits Muslim Nomor 6,kami,PRON,O
Hadits Muslim Nomor 6,Ubaidullah,PROPN,B-PER
Hadits Muslim Nomor 6,bin,PROPN,I-PER
Hadits Muslim Nomor 6,Mu'adz,PROPN,I-PER
Hadits Muslim Nomor 6,al,PROPN,I-PER
Hadits Muslim Nomor 6,Anbari,PROPN,I-PER
Hadits Muslim Nomor 6,telah,ADV,O
Hadits Muslim Nomor 6,menceritakan,VERB,O
Hadits Muslim Nomor 6,kepada,ADP,O
Hadits Muslim Nomor 6,kami,PRON,O
Hadits Muslim Nomor 6,Bapakku,NUM,O
Hadits Muslim Nomor 6,dalam,ADP,O
Hadits Muslim Nomor 6,riwayat,NOUN,O
Hadits Muslim Nomor 6,lain,ADJ,O
Hadits Muslim Nomor 6,disebutkan,VERB,O
Hadits Muslim Nomor 6,Dan,CONJ,O
Hadits Muslim Nomor 6,telah,ADV,O
Hadits Muslim Nomor 6,menceritakan,VERB,O
Hadits Muslim Nomor 6,kepada,ADP,O
Hadits Muslim Nomor 6,kami,PRON,O
Hadits Muslim Nomor 6,Muhammad,PROPN,B-PER
Hadits Muslim Nomor 6,bin,PROPN,I-PER
Hadits Muslim Nomor 6,al,PROPN,I-PER
Hadits Muslim Nomor 6,Mutsanna,PROPN,I-PER
Hadits Muslim Nomor 6,telah,ADV,O
Hadits Muslim Nomor 6,menceritakan,VERB,O
Hadits Muslim Nomor 6,kepada,ADP,O
Hadits Muslim Nomor 6,kami,PRON,O
Hadits Muslim Nomor 6,Abdurrahman,PROPN,B-PER
Hadits Muslim Nomor 6,bin,PROPN,I-PER
Hadits Muslim Nomor 6,Mahdi,PROPN,I-PER
Hadits Muslim Nomor 6,keduanya,ADJ,O
Hadits Muslim Nomor 6,berkata,VERB,O
Hadits Muslim Nomor 6,telah,ADV,O
Hadits Muslim Nomor 6,menceritakan,VERB,O
Hadits Muslim Nomor 6,kepada,ADP,O
Hadits Muslim Nomor 6,kami,PRON,O
Hadits Muslim Nomor 6,Syu'bah,PROPN,B-PER
Hadits Muslim Nomor 6,dari,ADP,O
Hadits Muslim Nomor 6,Khubaib,PROPN,B-PER
Hadits Muslim Nomor 6,bin,PROPN,I-PER
Hadits Muslim Nomor 6,Abdurrahman,PROPN,I-PER
Hadits Muslim Nomor 6,dari,ADP,O
Hadits Muslim Nomor 6,Hafsh,PROPN,B-PER
Hadits Muslim Nomor 6,bin,PROPN,I-PER
Hadits Muslim Nomor 6,Ashim,PROPN,I-PER
Hadits Muslim Nomor 6,dia,PRON,O
Hadits Muslim Nomor 6,berkata,VERB,O
Hadits Muslim Nomor 6,Rasulullah,PROPN,B-PER
Hadits Muslim Nomor 6,shallallahu,PROPN,I-PER
Hadits Muslim Nomor 6,',PUNCT,I-PER
Hadits Muslim Nomor 6,alaihi,PROPN,I-PER
Hadits Muslim Nomor 6,wasallam,PROPN,I-PER
Hadits Muslim Nomor 6,bersabda,VERB,O
Hadits Muslim Nomor 6,Cukuplah,NOUN,O
Hadits Muslim Nomor 6,seseorang,NOUN,O
Hadits Muslim Nomor 6,dianggap,VERB,O
Hadits Muslim Nomor 6,berbohong,VERB,O
Hadits Muslim Nomor 6,apabila,CONJ,O
Hadits Muslim Nomor 6,dia,PRON,O
Hadits Muslim Nomor 6,menceritakan,VERB,O
Hadits Muslim Nomor 6,semua,DET,O
Hadits Muslim Nomor 6,yang,PRON,O
Hadits Muslim Nomor 6,dia,PRON,O
Hadits Muslim Nomor 6,dengarkan,VERB,O
Hadits Muslim Nomor 6,Telah,ADV,O
Hadits Muslim Nomor 6,menceritakan,VERB,O
Hadits Muslim Nomor 6,kepada,ADP,O
