,title,token,pos,entity,predicted_entity
58,Hadits Muslim Nomor 10,mengetahui,VERB,O,O
59,Hadits Muslim Nomor 10,jawaban,NOUN,O,O
60,Hadits Muslim Nomor 10,-,PUNCT,O,O
61,Hadits Muslim Nomor 10,Nya,NOUN,O,O
62,Hadits Muslim Nomor 10,daripada,ADP,O,O
63,Hadits Muslim Nomor 10,orang,NOUN,O,O
64,Hadits Muslim Nomor 10,yang,PRON,O,O
65,Hadits Muslim Nomor 10,bertanya,VERB,O,O
66,Hadits Muslim Nomor 10,akan,ADV,O,O
67,Hadits Muslim Nomor 10,tetapi,CONJ,O,O
68,Hadits Muslim Nomor 10,aku,PRON,O,O
69,Hadits Muslim Nomor 10,akan,ADV,O,O
70,Hadits Muslim Nomor 10,menceritakan,VERB,O,O
71,Hadits Muslim Nomor 10,kepadamu,NOUN,O,O
72,Hadits Muslim Nomor 10,tentang,ADP,O,O
73,Hadits Muslim Nomor 10,tanda,NOUN,O,O
74,Hadits Muslim Nomor 10,-,PUNCT,O,O
75,Hadits Muslim Nomor 10,tandanya,NOUN,O,O
76,Hadits Muslim Nomor 10,yaitu,ADV,O,O
77,Hadits Muslim Nomor 10,bila,CONJ,O,O
78,Hadits Muslim Nomor 10,hamba,NOUN,O,O
79,Hadits Muslim Nomor 10,wanita,NOUN,O,O
80,Hadits Muslim Nomor 10,melahirkan,VERB,O,O
81,Hadits Muslim Nomor 10,tuan,NOUN,O,O
82,Hadits Muslim Nomor 10,-,PUNCT,O,O
83,Hadits Muslim Nomor 10,Nya,PROPN,O,O
84,Hadits Muslim Nomor 10,Itulah,DET,O,O
85,Hadits Muslim Nomor 10,salah,DET,O,O
86,Hadits Muslim Nomor 10,satu,DET,O,O
87,Hadits Muslim Nomor 10,tanda,NOUN,O,O
88,Hadits Muslim Nomor 10,-,PUNCT,O,O
89,Hadits Muslim Nomor 10,tandanya,NOUN,O,O
90,Hadits Muslim Nomor 10,Kedua,NUM,O,O
91,Hadits Muslim Nomor 10,bila,CONJ,O,O
92,Hadits Muslim Nomor 10,orang,NOUN,O,O
93,Hadits Muslim Nomor 10,yang,PRON,O,O
94,Hadits Muslim Nomor 10,telanjang,ADJ,O,O
95,Hadits Muslim Nomor 10,tanpa,ADP,O,O
96,Hadits Muslim Nomor 10,alas,NOUN,O,O
97,Hadits Muslim Nomor 10,kaki,NOUN,O,O
98,Hadits Muslim Nomor 10,menjadi,VERB,O,O
99,Hadits Muslim Nomor 10,pemimpin,NOUN,O,O
100,Hadits Muslim Nomor 10,manusia,NOUN,O,O
101,Hadits Muslim Nomor 10,Itulah,DET,O,O
102,Hadits Muslim Nomor 10,salah,DET,O,O
103,Hadits Muslim Nomor 10,satu,DET,O,O
104,Hadits Muslim Nomor 10,tanda,NOUN,O,O
105,Hadits Muslim Nomor 10,-,PUNCT,O,O
106,Hadits Muslim Nomor 10,tandanya,NOUN,O,O
107,Hadits Muslim Nomor 10,Ketiga,VERB,O,O
108,Hadits Muslim Nomor 10,apabila,CONJ,O,O
109,Hadits Muslim Nomor 10,penggembala,NOUN,O,O
110,Hadits Muslim Nomor 10,kambing,NOUN,O,O
111,Hadits Muslim Nomor 10,saling,ADV,O,O
112,Hadits Muslim Nomor 10,berlomba,VERB,O,O
113,Hadits Muslim Nomor 10,tinggi,ADJ,O,O
114,Hadits Muslim Nomor 10,-,PUNCT,O,O
115,Hadits Muslim Nomor 10,tinggian,NUM,O,O
116,Hadits Muslim Nomor 10,dalam,ADP,O,O
117,Hadits Muslim Nomor 10,mendirikan,VERB,O,O
118,Hadits Muslim Nomor 10,bangunan,NOUN,O,O
119,Hadits Muslim Nomor 10,Itulah,DET,O,O
120,Hadits Muslim Nomor 10,salah,DET,O,O
121,Hadits Muslim Nomor 10,satu,DET,O,O
122,Hadits Muslim Nomor 10,tanda,NOUN,O,O
123,Hadits Muslim Nomor 10,-,PUNCT,O,O
124,Hadits Muslim Nomor 10,tandanya,NOUN,O,O
125,Hadits Muslim Nomor 10,dalam,ADP,O,O
126,Hadits Muslim Nomor 10,lima,NUM,O,O
127,Hadits Muslim Nomor 10,tanda,NOUN,O,O
128,Hadits Muslim Nomor 10,-,PUNCT,O,O
129,Hadits Muslim Nomor 10,tanda,NOUN,O,O
130,Hadits Muslim Nomor 10,tidak,X,O,O
131,Hadits Muslim Nomor 10,ada,VERB,O,O
132,Hadits Muslim Nomor 10,yang,PRON,O,O
133,Hadits Muslim Nomor 10,mengetahuinya,VERB,O,O
134,Hadits Muslim Nomor 10,kecuali,ADV,O,O
135,Hadits Muslim Nomor 10,Allah,PROPN,O,O
136,Hadits Muslim Nomor 10,kemudian,ADV,O,O
137,Hadits Muslim Nomor 10,beliau,PRON,O,O
138,Hadits Muslim Nomor 10,shallallahu,PROPN,B-PER,B-PER
139,Hadits Muslim Nomor 10,',PUNCT,I-PER,I-PER
140,Hadits Muslim Nomor 10,alaihi,PROPN,I-PER,I-PER
141,Hadits Muslim Nomor 10,wasallam,PROPN,I-PER,I-PER
142,Hadits Muslim Nomor 10,membaca,VERB,O,O
143,Hadits Muslim Nomor 10,',PUNCT,O,O
144,Hadits Muslim Nomor 10,Sesungguhnya,NOUN,O,O
145,Hadits Muslim Nomor 10,Allah,PROPN,O,O
146,Hadits Muslim Nomor 10,hanya,ADV,O,O
147,Hadits Muslim Nomor 10,pada,ADP,O,O
148,Hadits Muslim Nomor 10,sisi,NOUN,O,O
149,Hadits Muslim Nomor 10,-,PUNCT,O,O
150,Hadits Muslim Nomor 10,Nya,NOUN,O,O
151,Hadits Muslim Nomor 10,sajalah,NOUN,O,O
152,Hadits Muslim Nomor 10,pengetahuan,NOUN,O,O
153,Hadits Muslim Nomor 10,tentang,ADP,O,O
154,Hadits Muslim Nomor 10,Hari,PROPN,O,O
155,Hadits Muslim Nomor 10,Kiamat,PROPN,O,O
156,Hadits Muslim Nomor 10,dan,CONJ,O,O
157,Hadits Muslim Nomor 10,Dia,PRON,O,O
158,Hadits Muslim Nomor 10,-,PUNCT,O,O
159,Hadits Muslim Nomor 10,lah,NOUN,O,O
160,Hadits Muslim Nomor 10,Yang,PRON,O,O
161,Hadits Muslim Nomor 10,menurunkan,VERB,O,O
162,Hadits Muslim Nomor 10,hujan,NOUN,O,O
163,Hadits Muslim Nomor 10,dan,CONJ,O,O
164,Hadits Muslim Nomor 10,mengetahui,VERB,O,O
165,Hadits Muslim Nomor 10,apa,NOUN,O,O
166,Hadits Muslim Nomor 10,yang,PRON,O,O
167,Hadits Muslim Nomor 10,ada,VERB,O,O
168,Hadits Muslim Nomor 10,dalam,ADP,O,O
169,Hadits Muslim Nomor 10,rahimDan,NOUN,O,O
170,Hadits Muslim Nomor 10,tiada,X,O,O
171,Hadits Muslim Nomor 10,seorangpun,NOUN,O,O
172,Hadits Muslim Nomor 10,yang,PRON,O,O
173,Hadits Muslim Nomor 10,dapat,ADV,O,O
174,Hadits Muslim Nomor 10,mengetahui,VERB,O,O
175,Hadits Muslim Nomor 10,dengan,ADP,O,O
176,Hadits Muslim Nomor 10,pasti,NOUN,O,O
177,Hadits Muslim Nomor 10,apa,NOUN,O,O
178,Hadits Muslim Nomor 10,yang,PRON,O,O
179,Hadits Muslim Nomor 10,akan,ADV,O,O
180,Hadits Muslim Nomor 10,diusahakan,VERB,O,O
181,Hadits Muslim Nomor 10,-,PUNCT,O,O
182,Hadits Muslim Nomor 10,Nya,PROPN,O,O
183,Hadits Muslim Nomor 10,besokDan,NOUN,O,O
184,Hadits Muslim Nomor 10,tiada,X,O,O
185,Hadits Muslim Nomor 10,seorangpun,NOUN,O,O
186,Hadits Muslim Nomor 10,yang,PRON,O,O
187,Hadits Muslim Nomor 10,dapat,ADV,O,O
188,Hadits Muslim Nomor 10,mengetahui,VERB,O,O
189,Hadits Muslim Nomor 10,di,ADP,O,O
190,Hadits Muslim Nomor 10,bumi,NOUN,O,O
191,Hadits Muslim Nomor 10,mana,NOUN,O,O
192,Hadits Muslim Nomor 10,dia,PRON,O,O
193,Hadits Muslim Nomor 10,akan,ADV,O,O
194,Hadits Muslim Nomor 10,mati,VERB,O,O
195,Hadits Muslim Nomor 10,Sesungguhnya,NOUN,O,O
196,Hadits Muslim Nomor 10,Allah,PROPN,O,O
197,Hadits Muslim Nomor 10,Maha,PROPN,O,O
198,Hadits Muslim Nomor 10,Mengetahui,ADV,O,O
199,Hadits Muslim Nomor 10,lagi,ADV,O,O
200,Hadits Muslim Nomor 10,Maha,PROPN,O,O
201,Hadits Muslim Nomor 10,Mengenal,PROPN,O,O
202,Hadits Muslim Nomor 10,',PUNCT,O,I-PER
203,Hadits Muslim Nomor 10,Qs,PROPN,O,I-PER
204,Hadits Muslim Nomor 10,Luqman,PROPN,O,I-PER
205,Hadits Muslim Nomor 10,34,NUM,O,O
206,Hadits Muslim Nomor 10,Kemudian,CONJ,O,O
207,Hadits Muslim Nomor 10,laki,NOUN,O,O
208,Hadits Muslim Nomor 10,-,PUNCT,O,O
209,Hadits Muslim Nomor 10,laki,NOUN,O,O
210,Hadits Muslim Nomor 10,tersebut,DET,O,O
211,Hadits Muslim Nomor 10,kembali,ADV,O,O
212,Hadits Muslim Nomor 10,pergi,VERB,O,O
213,Hadits Muslim Nomor 10,Maka,ADV,O,O
214,Hadits Muslim Nomor 10,Rasulullah,PROPN,B-PER,B-PER
215,Hadits Muslim Nomor 10,shallallahu,PROPN,I-PER,I-PER
216,Hadits Muslim Nomor 10,',PUNCT,I-PER,I-PER
217,Hadits Muslim Nomor 10,alaihi,PROPN,I-PER,I-PER
218,Hadits Muslim Nomor 10,wasallam,PROPN,I-PER,I-PER
219,Hadits Muslim Nomor 10,bersabda,PROPN,O,O
220,Hadits Muslim Nomor 10,Panggil,PROPN,O,O
221,Hadits Muslim Nomor 10,kembali,ADV,O,O
222,Hadits Muslim Nomor 10,laki,NOUN,O,O
223,Hadits Muslim Nomor 10,-,PUNCT,O,O
224,Hadits Muslim Nomor 10,laki,NOUN,O,O
225,Hadits Muslim Nomor 10,tersebut,DET,O,O
226,Hadits Muslim Nomor 10,menghadapku,NOUN,O,O
227,Hadits Muslim Nomor 10,',PUNCT,O,O
228,Hadits Muslim Nomor 10,Maka,CONJ,O,O
229,Hadits Muslim Nomor 10,mereka,PRON,O,O
230,Hadits Muslim Nomor 10,mulai,VERB,O,O
231,Hadits Muslim Nomor 10,memanggilnya,VERB,O,O
232,Hadits Muslim Nomor 10,lagi,ADV,O,O
233,Hadits Muslim Nomor 10,namun,CONJ,O,O
234,Hadits Muslim Nomor 10,mereka,PRON,O,O
235,Hadits Muslim Nomor 10,tidak,X,O,O
236,Hadits Muslim Nomor 10,melihat,VERB,O,O
237,Hadits Muslim Nomor 10,sesuatu,NOUN,O,O
238,Hadits Muslim Nomor 10,pun,X,O,O
239,Hadits Muslim Nomor 10,Maka,ADV,O,O
240,Hadits Muslim Nomor 10,Rasulullah,PROPN,B-PER,B-PER
241,Hadits Muslim Nomor 10,shallallahu,PROPN,I-PER,I-PER
242,Hadits Muslim Nomor 10,',PUNCT,I-PER,I-PER
243,Hadits Muslim Nomor 10,alaihi,PROPN,I-PER,I-PER
244,Hadits Muslim Nomor 10,wasallam,PROPN,I-PER,I-PER
245,Hadits Muslim Nomor 10,bersabda,VERB,O,O
246,Hadits Muslim Nomor 10,Ini,ADV,O,O
247,Hadits Muslim Nomor 10,Jibril,PROPN,O,B-PER
248,Hadits Muslim Nomor 10,dia,PRON,O,O
249,Hadits Muslim Nomor 10,datang,VERB,O,O
250,Hadits Muslim Nomor 10,untuk,ADP,O,O
251,Hadits Muslim Nomor 10,mengajarkan,VERB,O,O
252,Hadits Muslim Nomor 10,manusia,NOUN,O,O
253,Hadits Muslim Nomor 10,tentang,ADP,O,O
254,Hadits Muslim Nomor 10,agama,NOUN,O,O
255,Hadits Muslim Nomor 10,mereka,PRON,O,O
256,Hadits Muslim Nomor 10,',PUNCT,O,O
257,Hadits Muslim Nomor 10,Telah,ADV,O,O
258,Hadits Muslim Nomor 10,menceritakan,VERB,O,O
259,Hadits Muslim Nomor 10,kepada,ADP,O,O
260,Hadits Muslim Nomor 10,kami,PRON,O,O
261,Hadits Muslim Nomor 10,Muhammad,PROPN,B-PER,B-PER
262,Hadits Muslim Nomor 10,bin,PROPN,I-PER,I-PER
263,Hadits Muslim Nomor 10,Abdullah,PROPN,I-PER,I-PER
264,Hadits Muslim Nomor 10,bin,PROPN,I-PER,I-PER
265,Hadits Muslim Nomor 10,Numair,PROPN,I-PER,I-PER
266,Hadits Muslim Nomor 10,telah,ADV,O,O
267,Hadits Muslim Nomor 10,menceritakan,VERB,O,O
268,Hadits Muslim Nomor 10,kepada,ADP,O,O
269,Hadits Muslim Nomor 10,kami,PRON,O,O
270,Hadits Muslim Nomor 10,Muhammad,PROPN,B-PER,B-PER
271,Hadits Muslim Nomor 10,bin,PROPN,I-PER,I-PER
272,Hadits Muslim Nomor 10,Bisyr,PROPN,I-PER,I-PER
273,Hadits Muslim Nomor 10,telah,ADV,O,O
274,Hadits Muslim Nomor 10,menceritakan,VERB,O,O
275,Hadits Muslim Nomor 10,kepada,ADP,O,O
276,Hadits Muslim Nomor 10,kami,PRON,O,O
277,Hadits Muslim Nomor 10,Abu,PROPN,B-PER,B-PER
278,Hadits Muslim Nomor 10,Hayyan,PROPN,I-PER,I-PER
279,Hadits Muslim Nomor 10,at,PROPN,I-PER,O
280,Hadits Muslim Nomor 10,-,PUNCT,I-PER,O
281,Hadits Muslim Nomor 10,Taimi,PROPN,I-PER,O
282,Hadits Muslim Nomor 10,dengan,ADP,O,O
283,Hadits Muslim Nomor 10,sanad,NOUN,O,O
284,Hadits Muslim Nomor 10,ini,DET,O,O
285,Hadits Muslim Nomor 10,hadits,NOUN,O,O
286,Hadits Muslim Nomor 10,semisalnya,NOUN,O,O
287,Hadits Muslim Nomor 10,hanya,ADV,O,O
288,Hadits Muslim Nomor 10,saja,ADV,O,O
289,Hadits Muslim Nomor 10,dalam,ADP,O,O
290,Hadits Muslim Nomor 10,riwayatnya,NOUN,O,O
291,Hadits Muslim Nomor 10,ada,VERB,O,O
292,Hadits Muslim Nomor 10,kalimat,NOUN,O,O
293,Hadits Muslim Nomor 10,',PUNCT,O,O
294,Hadits Muslim Nomor 10,Apabila,CONJ,O,O
295,Hadits Muslim Nomor 10,hamba,NOUN,O,O
296,Hadits Muslim Nomor 10,wanita,NOUN,O,O
297,Hadits Muslim Nomor 10,melahirkan,VERB,O,O
298,Hadits Muslim Nomor 10,suaminya,NOUN,O,O
299,Hadits Muslim Nomor 10,yaitu,ADV,O,O
300,Hadits Muslim Nomor 10,para,DET,O,O
301,Hadits Muslim Nomor 10,gundik,NOUN,O,O
302,Hadits Muslim Nomor 10,',PUNCT,O,O
303,Hadits Muslim Nomor 2,Dan,CONJ,O,O
304,Hadits Muslim Nomor 2,telah,ADV,O,O
305,Hadits Muslim Nomor 2,menceritakan,VERB,O,O
306,Hadits Muslim Nomor 2,kepada,ADP,O,O
307,Hadits Muslim Nomor 2,kami,PRON,O,O
308,Hadits Muslim Nomor 2,Abu,PROPN,B-PER,B-PER
309,Hadits Muslim Nomor 2,Bakar,PROPN,I-PER,I-PER
310,Hadits Muslim Nomor 2,bin,PROPN,I-PER,I-PER
311,Hadits Muslim Nomor 2,Abu,PROPN,I-PER,I-PER
312,Hadits Muslim Nomor 2,Syaibah,PROPN,I-PER,I-PER
313,Hadits Muslim Nomor 2,telah,ADV,O,O
314,Hadits Muslim Nomor 2,menceritakan,VERB,O,O
315,Hadits Muslim Nomor 2,kepada,ADP,O,O
316,Hadits Muslim Nomor 2,kami,PRON,O,O
317,Hadits Muslim Nomor 2,Ghundar,PROPN,B-PER,B-PER
318,Hadits Muslim Nomor 2,dari,ADP,O,O
319,Hadits Muslim Nomor 2,Syu'bah,PROPN,B-PER,B-PER
320,Hadits Muslim Nomor 2,dalam,ADP,O,O
321,Hadits Muslim Nomor 2,riwayat,NOUN,O,O
322,Hadits Muslim Nomor 2,lain,ADJ,O,O
323,Hadits Muslim Nomor 2,disebutkan,VERB,O,O
324,Hadits Muslim Nomor 2,Dan,CONJ,O,O
325,Hadits Muslim Nomor 2,telah,ADV,O,O
326,Hadits Muslim Nomor 2,menceritakan,VERB,O,O
327,Hadits Muslim Nomor 2,kepada,ADP,O,O
328,Hadits Muslim Nomor 2,kami,PRON,O,O
329,Hadits Muslim Nomor 2,Muhammad,PROPN,B-PER,B-PER
330,Hadits Muslim Nomor 2,bin,PROPN,I-PER,I-PER
331,Hadits Muslim Nomor 2,al,PROPN,I-PER,I-PER
332,Hadits Muslim Nomor 2,Mutsanna,PROPN,I-PER,I-PER
333,Hadits Muslim Nomor 2,dan,CONJ,O,O
334,Hadits Muslim Nomor 2,Ibnu,PROPN,B-PER,B-PER
335,Hadits Muslim Nomor 2,Basysyar,PROPN,I-PER,I-PER
336,Hadits Muslim Nomor 2,keduanya,NOUN,O,O
337,Hadits Muslim Nomor 2,berkata,VERB,O,O
338,Hadits Muslim Nomor 2,telah,ADV,O,O
339,Hadits Muslim Nomor 2,menceritakan,VERB,O,O
340,Hadits Muslim Nomor 2,kepada,ADP,O,O
341,Hadits Muslim Nomor 2,kami,PRON,O,O
342,Hadits Muslim Nomor 2,Muhammad,PROPN,B-PER,B-PER
343,Hadits Muslim Nomor 2,bin,PROPN,I-PER,I-PER
344,Hadits Muslim Nomor 2,Ja'far,PROPN,I-PER,I-PER
345,Hadits Muslim Nomor 2,telah,ADV,O,O
346,Hadits Muslim Nomor 2,menceritakan,VERB,O,O
347,Hadits Muslim Nomor 2,kepada,ADP,O,O
348,Hadits Muslim Nomor 2,kami,PRON,O,O
349,Hadits Muslim Nomor 2,Syu'bah,PROPN,B-PER,B-PER
350,Hadits Muslim Nomor 2,dari,ADP,O,O
351,Hadits Muslim Nomor 2,Manshur,PROPN,B-PER,B-PER
352,Hadits Muslim Nomor 2,dari,ADP,O,O
353,Hadits Muslim Nomor 2,Rib'i,PROPN,B-PER,B-PER
354,Hadits Muslim Nomor 2,bin,PROPN,I-PER,I-PER
355,Hadits Muslim Nomor 2,Hirasy,PROPN,I-PER,I-PER
356,Hadits Muslim Nomor 2,bahwasanya,ADP,O,O
357,Hadits Muslim Nomor 2,dia,PRON,O,O
358,Hadits Muslim Nomor 2,mendengar,VERB,O,O
359,Hadits Muslim Nomor 2,Ali,PROPN,B-PER,B-PER
360,Hadits Muslim Nomor 2,berkhuthbah,VERB,O,O
361,Hadits Muslim Nomor 2,dia,PRON,O,O
362,Hadits Muslim Nomor 2,berkata,VERB,O,O
363,Hadits Muslim Nomor 2,Rasulullah,PROPN,B-PER,B-PER
364,Hadits Muslim Nomor 2,shallallahu,PROPN,I-PER,I-PER
365,Hadits Muslim Nomor 2,',PUNCT,I-PER,I-PER
366,Hadits Muslim Nomor 2,alaihi,PROPN,I-PER,I-PER
367,Hadits Muslim Nomor 2,wasallam,PROPN,I-PER,I-PER
368,Hadits Muslim Nomor 2,bersabda,VERB,O,O
369,Hadits Muslim Nomor 2,Janganlah,ADV,O,O
370,Hadits Muslim Nomor 2,kalian,NOUN,O,O
371,Hadits Muslim Nomor 2,berdusta,VERB,O,O
372,Hadits Muslim Nomor 2,atas,ADP,O,O
373,Hadits Muslim Nomor 2,namaku,NOUN,O,O
374,Hadits Muslim Nomor 2,karena,CONJ,O,O
375,Hadits Muslim Nomor 2,siapa,NOUN,O,O
376,Hadits Muslim Nomor 2,yang,PRON,O,O
377,Hadits Muslim Nomor 2,berdusta,VERB,O,O
378,Hadits Muslim Nomor 2,atas,ADP,O,O
379,Hadits Muslim Nomor 2,namaku,NOUN,O,O
380,Hadits Muslim Nomor 2,niscaya,ADV,O,O
381,Hadits Muslim Nomor 2,dia,PRON,O,O
382,Hadits Muslim Nomor 2,masuk,VERB,O,O
383,Hadits Muslim Nomor 2,neraka,NOUN,O,O
384,Hadits Muslim Nomor 3,Telah,ADV,O,O
385,Hadits Muslim Nomor 3,menceritakan,VERB,O,O
386,Hadits Muslim Nomor 3,kepada,ADP,O,O
387,Hadits Muslim Nomor 3,kami,PRON,O,O
388,Hadits Muslim Nomor 3,Zuhair,PROPN,B-PER,B-PER
389,Hadits Muslim Nomor 3,bin,PROPN,I-PER,I-PER
390,Hadits Muslim Nomor 3,Harb,PROPN,I-PER,I-PER
391,Hadits Muslim Nomor 3,telah,ADV,O,O
392,Hadits Muslim Nomor 3,menceritakan,VERB,O,O
393,Hadits Muslim Nomor 3,kepada,ADP,O,O
394,Hadits Muslim Nomor 3,kami,PRON,O,O
395,Hadits Muslim Nomor 3,Ismail,PROPN,B-PER,B-PER
396,Hadits Muslim Nomor 3,-,PUNCT,O,O
397,Hadits Muslim Nomor 3,yaitu,ADV,O,O
398,Hadits Muslim Nomor 3,Ibnu,PROPN,B-PER,B-PER
399,Hadits Muslim Nomor 3,',PUNCT,I-PER,I-PER
400,Hadits Muslim Nomor 3,Ulayyah,PROPN,I-PER,I-PER
401,Hadits Muslim Nomor 3,-,PUNCT,O,O
402,Hadits Muslim Nomor 3,dari,ADP,O,O
403,Hadits Muslim Nomor 3,Abdul,PROPN,B-PER,B-PER
404,Hadits Muslim Nomor 3,Aziz,PROPN,I-PER,I-PER
405,Hadits Muslim Nomor 3,bin,PROPN,I-PER,I-PER
406,Hadits Muslim Nomor 3,Shuhaib,PROPN,I-PER,I-PER
407,Hadits Muslim Nomor 3,dari,ADP,O,O
408,Hadits Muslim Nomor 3,Anas,PROPN,B-PER,B-PER
409,Hadits Muslim Nomor 3,bin,PROPN,I-PER,I-PER
410,Hadits Muslim Nomor 3,Malik,PROPN,I-PER,I-PER
411,Hadits Muslim Nomor 3,bahwasanya,ADP,O,O
412,Hadits Muslim Nomor 3,dia,PRON,O,O
413,Hadits Muslim Nomor 3,berkata,VERB,O,O
414,Hadits Muslim Nomor 3,',PUNCT,O,O
415,Hadits Muslim Nomor 3,Sesungguhnya,NOUN,O,O
416,Hadits Muslim Nomor 3,sesuatu,NOUN,O,O
417,Hadits Muslim Nomor 3,yang,PRON,O,O
418,Hadits Muslim Nomor 3,menghalangiku,VERB,O,O
419,Hadits Muslim Nomor 3,untuk,ADP,O,O
420,Hadits Muslim Nomor 3,menceritakan,VERB,O,O
421,Hadits Muslim Nomor 3,hadits,NOUN,O,O
422,Hadits Muslim Nomor 3,yang,PRON,O,O
423,Hadits Muslim Nomor 3,banyak,ADV,O,O
424,Hadits Muslim Nomor 3,kepada,ADP,O,O
425,Hadits Muslim Nomor 3,kalian,NOUN,O,O
426,Hadits Muslim Nomor 3,adalah,VERB,O,O
427,Hadits Muslim Nomor 3,bahwa,CONJ,O,O
428,Hadits Muslim Nomor 3,Rasulullah,PROPN,B-PER,B-PER
429,Hadits Muslim Nomor 3,shallallahu,PROPN,I-PER,I-PER
430,Hadits Muslim Nomor 3,',PUNCT,I-PER,I-PER
431,Hadits Muslim Nomor 3,alaihi,PROPN,I-PER,I-PER
432,Hadits Muslim Nomor 3,wasallam,PROPN,I-PER,I-PER
433,Hadits Muslim Nomor 3,bersabda,PROPN,O,O
434,Hadits Muslim Nomor 3,Barangsiapa,NOUN,O,O
435,Hadits Muslim Nomor 3,yang,PRON,O,O
436,Hadits Muslim Nomor 3,sengaja,ADV,O,O
437,Hadits Muslim Nomor 3,melakukan,VERB,O,O
438,Hadits Muslim Nomor 3,kedustaan,NOUN,O,O
439,Hadits Muslim Nomor 3,atas,ADP,O,O
440,Hadits Muslim Nomor 3,namaku,NOUN,O,O
441,Hadits Muslim Nomor 3,maka,CONJ,O,O
442,Hadits Muslim Nomor 3,hendaklah,CONJ,O,O
443,Hadits Muslim Nomor 3,dia,PRON,O,O
444,Hadits Muslim Nomor 3,menempati,VERB,O,O
445,Hadits Muslim Nomor 3,tempat,NOUN,O,O
446,Hadits Muslim Nomor 3,duduknya,NOUN,O,O
447,Hadits Muslim Nomor 3,dari,ADP,O,O
448,Hadits Muslim Nomor 3,neraka,NOUN,O,O
449,Hadits Muslim Nomor 3,',PUNCT,O,O
450,Hadits Muslim Nomor 4,Telah,ADV,O,O
451,Hadits Muslim Nomor 4,menceritakan,VERB,O,O
452,Hadits Muslim Nomor 4,kepada,ADP,O,O
453,Hadits Muslim Nomor 4,kami,PRON,O,O
